title,desc,cat,owner,type,tags,url,flag
Content Submission Deadlines,"The weekly content clock: VA submits hooks and captions Monday 5PM, manager reviews Tuesday 2PM, assets due Wednesday. Includes the exact status changes and tagging rules at each handoff.",Social Media,Nicole,SOP,"deadlines,content,va,approval,weekly",https://docs.google.com/document/d/1eAYGV9KsvdDJVcHcpwXTGxh_sRL0vnyvWwAWhneUg2o/edit,
New SMM Hire — First Week Schedule,"Hour-by-hour Monday–Friday ramp for a new SMM VA: Drive orientation, client Instagram review, tool setup across Drive, Asana, Canva, and ChatGPT.",Social Media,Nicole,Onboarding,"onboarding,smm,va,schedule",https://docs.google.com/document/d/15zX4m0B2TJMeV8KZhBj6WX3aEPtqc4i07iA61vfVNFY/edit,
30-Day Trust Content Playbook,Month-long content framework built around establishing trust with a new audience.,Social Media,Nicole,Playbook,"playbook,content,trust,30-day",https://docs.google.com/document/d/1dAs-6j4zjMM-hjy6WqJzdeMuZA9f4hVDJCA0Oy1ejFI/edit,
30-Day Trust Content Playbook V1,Earlier version of the trust playbook. Confirm which is current before assigning it.,Social Media,Nicole,Playbook,"playbook,content,trust",https://docs.google.com/document/d/1I0yrTBt568h9btfzK9m1Ye-kX41xOoccHjwqqFWoOjk/edit,Duplicate
Coral Cove Instagram Audit & Strategy,"Diagnoses the split between the realtor-facing brand and the newer SMM offering, and sets the positioning shift toward premium content partner.",Social Media,Nicole,Strategy,"instagram,positioning,brand,audit",https://docs.google.com/document/d/1AAPee9QrfmHv-kAwE66BB8CXJR6MrBm4cX4MV8573fc/edit,
Meta Ads — Angles,"Five campaign angles with emotional drivers and five hooks each, plus why each angle works. Start here before writing new ad copy.",Social Media,Chris,Reference,"meta,ads,hooks,angles,copy",https://docs.google.com/document/d/1GPE7tUXz49N8muPI8gCI4xDpxoGYKZl7_yIgaWpfXB0/edit,
Meta Ads Scripts,Hook-through-CTA ad scripts for the local-business SMM campaign. The written execution of the angles doc.,Social Media,Chris,Templates,"meta,ads,scripts,copy",https://docs.google.com/document/d/1Jq405jY-Gfw--UbL_8goRk1LaEN_XZD1yFLAYecgQOY/edit,
Engagement — folder,Working folder for engagement assets and tracking alongside the Instagram Engagement SOP.,Social Media,Nicole,Folder,"engagement,folder",https://drive.google.com/drive/folders/1EHQ0ExjpLvlmpd34H0AfrSS3kJ_CXPY1,
Analytics SOP — folder,Reporting procedures and the analytics email templates used for monthly client reports.,Social Media,Nicole,Folder,"analytics,reporting,folder",https://drive.google.com/drive/folders/1TJT2xAjg9KIAC07w0xY3mPqCrSzF9Kz1,
Social Media Onboarding Questionnaire,"Intake form for new SMM clients — business story, current marketing, programs and services, dream client, email list. Send before the kickoff call, not after.",Client Onboarding,Nicole,Template,"intake,questionnaire,smm,new-client",https://docs.google.com/document/d/18MDdIOrtX3PvNNvjFMPhsZ99_k3e_5qGDTzC-0F4G6k/edit,
Ferrum Athletic — Onboarding Brief,"Worked example of a completed onboarding brief: positioning, short and long term goals, target audience, and tone guardrails. Use as the model for new accounts.",Client Onboarding,Ken,Client Brief,"onboarding,brief,ferrum,example,tone",https://docs.google.com/document/d/1i538CvhGBezbYamcSGFXxIB6RXlWrE1HlvpuMzNuwhg/edit,
Ferrum Athletic — Shot List,"Testimonial and b-roll shot list with tone notes. Educational and longevity-focused, deliberately not high-intensity hype.",Client Onboarding,Ken,Shot List,"shot-list,ferrum,testimonial,gym",https://docs.google.com/document/d/1xVY27-5RfBf6ppguuwurzQgZdHVV4j3NPf1KGOHul64/edit,
L. Moore Aesthetics — Shot List,"Talking-head prompts and coverage plan for the med spa account, organized by seasonal content block.",Client Onboarding,Ken,Shot List,"shot-list,med-spa,talking-head",https://docs.google.com/document/d/1-OH_PZbtkQcODxL3CLD312IRTlNE3u0QJJhfEm6X6-o/edit,
Lakeside Nest — Shot List,"Drone and ground coverage plan with per-shot tips. Good template for any property-complex shoot: numbered shots, framing notes, and light timing.",Client Onboarding,Shai,Shot List,"shot-list,drone,property,template",https://docs.google.com/document/d/13JQhyMdKPbGw5wc5C5957R6VlbycLwZ028jhNzV6ZKM/edit,
Spas ETC — Shot List,"Drone and ground shot list for expo and showroom coverage, framed vertical for Reels throughout.",Client Onboarding,Ken,Shot List,"shot-list,expo,drone,vertical",https://docs.google.com/document/d/1-kgl-iMAZBrtUAKZ6okYKCBp-0CTv8cJ4eSS2yTp5p4/edit,
Sales Advisor Manual v1.0,"The core sales reference for advisors — positioning, offer structure, and how to run a Coral Cove conversation.",Sales,Chris,Manual,"sales,manual,pitch",https://docs.google.com/document/d/1hNYF_2MfyNXtJwI0NHcrHWHuxjcsVRqkbAWz6KMB0oA/edit,
Live Confirmation & Consultative Sales Workshop,"Why confirmation calls beat sales calls: lead with confirmation language to lower defenses, research the listing first, then position upsells like twilight and reels. Built from live call demos.",Sales,Chris,Training,"sales,upsell,calls,training,consultative",https://docs.google.com/document/d/17FpqIrGi8y4iVjBcAjOIzS1HiKv62rw2FRXxJlblurQ/edit,
AI Sales Agent Knowledge Base,"Source-of-truth answers the AI sales agent draws from. Update this when services, pricing, or positioning change.",Sales,Chris,Reference,"ai,sales,knowledge-base,automation",https://docs.google.com/document/d/1ef5w5b96QzlZd-1OkODNB6H3NKNo-vSUJq4ZXByr9g8/edit,
AI for Realtors — Live Prompt Pack,Copy-paste prompt library for MLS listing copy and turning one listing into five social captions. Used as a lead magnet and in agent workshops.,Sales,Chris,Resource,"ai,prompts,realtors,listing-copy,lead-magnet",https://docs.google.com/document/d/1opS4u-Snyp9UzejIJup1bgiNOVCq_K3txU6_NzR5pqA/edit,
Full Manual,Long-form company manual. Title is ambiguous against the Sales Advisor Manual — rename once you confirm scope.,Sales,Chris,Manual,"manual,reference",https://docs.google.com/document/d/15j8umWmSAYohU5Ex2Hkfy8fcYpQ0TQa0MvgCNWGn79Q/edit,Needs rename
Merger Announcement Email,Email 1 of the non-client GHL sequence — announces the Four Corners merger and reintroduces the service range. Reusable as the reactivation template.,Sales,Chris,Template,"email,template,merger,ghl,reactivation",https://docs.google.com/document/d/10g99n9Ipn1hvV0U7ryiFcC6AGygWHPm9OVfP1ewWtVI/edit,
Real Estate Client Pricing,"Per-video pricing for real estate clients as of 05-18-2026, with add-on rates for AI enhancements, length extension, and agent spiel. Quote from this, not from memory.",Pricing,Chris,Pricing,"pricing,real-estate,video,add-ons",https://docs.google.com/document/d/18YrDvi1-XXcEeWoB5BNKiaGXyy6K5OwqJJMfmj03Rvs/edit,
Editing Rate Card — RC AVPRO,"Per-edit pricing with the outsourced edit partner as of 06-09-2026: basic vs premium tiers, revision counts, 24–48hr turnaround, and confirmation that Coral Cove supplies the licensed music and AI subscriptions.",Pricing,Chris,Pricing,"pricing,editing,vendor,turnaround,revisions",https://docs.google.com/document/d/1Q8FRCZY7ptvy6DGaHPYoDcjk5aJvxnoZoOcaOOTt8DA/edit,
Growth Packages 2026,Current package lineup and price points for 2026.,Pricing,Chris,Pricing,"pricing,packages,2026",https://docs.google.com/document/d/10kd8N3zzYZuYyFAPiIEkSnGbOP_Gc-wQ6YLglnEIzHU/edit,
Quarterly Content Accelerator Packages,Quarterly content bundle tiers and what each deliverable set includes.,Pricing,Chris,Pricing,"pricing,packages,content",https://docs.google.com/document/d/1AZZ_6tucu1K4iA7RR3dSzlTVqI7V80XrqUhGgF_rpgU/edit,
Team Mapping — Roles & Assignments,"Who covers which clients, current capacity per creator, and open headcount. The fastest answer to ""who owns this account?""",Roles & People Ops,Monica,Reference,"team,capacity,assignments",https://docs.google.com/document/d/1bhVVinsFY5upbEplJPeoRKcegdowc08X1GS8CnhQJBo/edit,
Creative Specialist Welcome Packet,"First-day packet for new creative hires — expectations, tools, and how work moves through the shop.",Roles & People Ops,Monica,Onboarding,"onboarding,creative,welcome",https://docs.google.com/document/d/12OCBcU5cUBCmdTaPtsU2bwegGz8G3zaoIZcYD3egNbI/edit,
Marketing Director — Job Description,"Scope, responsibilities, and success measures for the Marketing Director seat.",Roles & People Ops,Monica,Role Doc,"role,hiring,marketing",https://docs.google.com/document/d/1KuHl1lpMaxkyB4RnJzuBAt8fhA68hF7vkE4Jn8j5mfg/edit,
Project Coordinator — Job Description,Scope and responsibilities for the Project Coordinator seat.,Roles & People Ops,Monica,Role Doc,"role,hiring,coordination",https://docs.google.com/document/d/1HIbqf41rndUhWGNrFw-dmGtZmuSUkUmPcIcSRqa7Wo8/edit,
Client Success Rep — Role Description,Scope and responsibilities for the Client Success seat.,Roles & People Ops,Monica,Role Doc,"role,hiring,client-success",https://docs.google.com/document/d/17P3nPMrBGuwJGWYY7c3Brp570ekVR-McpItVCZ7qevA/edit,
Founder Duties — Delegation Inventory,"Full inventory of duties currently held by Chris and Monica across shooting, QC, delivery, and business development. The working delegation checklist as roles get filled.",Roles & People Ops,Chris,Reference,"role,delegation,founder,capacity",https://docs.google.com/document/d/1rxF7q8_Rdwkjw6LwyuU6Nw8gBU64wSqTJHsqwTfWCGI/edit,
Job Offer Letter Template,Standard offer letter to fill and send. Confirm comp and start date before issuing.,Roles & People Ops,Monica,Template,"hiring,template,offer",https://docs.google.com/document/d/1MDUfUA6PPPoT6P7BUhj1sN29yKBZT_JSWENhwuo-99Y/edit,
Health & Wellness Benefits Policy,"What the wellness benefit covers, who qualifies, and how to claim it.",Roles & People Ops,Monica,Policy,"policy,benefits,wellness",https://docs.google.com/document/d/1tU-Pgs5741UR7p2181e22nYrA3XuyguQ_PKf5EBlMJs/edit,
Prize Wheel Policy,"Rules for the prize wheel incentive — eligibility, cadence, and prize handling.",Roles & People Ops,Monica,Policy,"policy,incentives,team",https://docs.google.com/document/d/1Sspz552qyhTqQpmjQ2ZVFTXRxb8x8yZ6NJQxNBptpjg/edit,
Google Workspace Migration SOP,"Shared Drive method for moving all company files between Workspace accounts without losing ownership or breaking permissions. Phased, with a defined owner per phase and the standard Clients / Marketing / Operations / Finance structure.",Systems & Admin,Chris,SOP,"workspace,migration,shared-drive,permissions,admin",https://docs.google.com/document/d/1hKYgrq_5YI77TCUMC7qhYyRAM93eGDZ_Xhz5I00_ySE/edit,
SMM Contracts,Signed social media management agreements. Check scope here before adding deliverables to an account.,Systems & Admin,Monica,Folder,"contracts,smm,folder,legal",https://drive.google.com/drive/folders/1HPNaDUIVFsh4p9sy_o-1E8UTzSJMfdh9,
SMM Client Info — all accounts,"Parent folder for every managed social account: Alex, Coral Cove, Ferrum Athletic, G.J. Gardner, Gift of Dance, L Moore Aesthetics, Spas ETC, The Lakeside Nest.",Systems & Admin,Nicole,Folder,"clients,smm,folder",https://drive.google.com/drive/folders/1ktgm2WYwLfJW5F-bmrZKvwmSsPvdTK6V,
Wiki Files — Monday export,The exported Monday.com wiki. Bulk of the SOP library lives here — open it directly if something you need isn't indexed on this page yet.,Systems & Admin,Ops,Folder,"wiki,monday,export,folder,source",https://drive.google.com/drive/folders/1lc4_HIR2aUhPMFskT1vkWN7yuaraAX9T,
General Ops SOPs — root folder,"Top-level operations folder containing the Analytics SOP, Engagement, QC Assessment, and SMM Contracts subfolders.",Systems & Admin,Ops,Folder,"ops,folder,root",https://drive.google.com/drive/folders/1nyZr4cgZjIu52WjXOC17aRMQRpzc6IER,
30-Day Internal Growth Roadmap,"Live checklist covering the GHL setup, non-client email sequence, and merger announcement campaign. Partially complete — check the boxes before assuming a step is done.",Planning,Chris,Roadmap,"roadmap,ghl,email,campaign",https://docs.google.com/document/d/167tpu7tDA65GA2xuFnntmnBIZK26IZHxL4B8XsHSBWs/edit,
Revenue Growth & Scalability Plan,"Path to consistent monthly revenue through high-margin recurring services — Meta Ads management and email marketing as the primary growth drivers, with standardized onboarding and reporting.",Planning,Chris,Strategy,"strategy,revenue,retainers,meta-ads,scalability",https://docs.google.com/document/d/13qyGLrgZsehaBIrrWNzQUHF4zIkTEeAF6LTGpVQvizY/edit,
Savannah Roadmap,"Market expansion plan for the Savannah, GA territory.",Planning,Chris,Roadmap,"roadmap,expansion,savannah",https://docs.google.com/document/d/1zr79Cu0gNIX7TH848Nru5MrSuo-UEGydqkG9pGyZW1s/edit,
2026 Outlook Overview,Company direction and targets for 2026.,Planning,Chris,Strategy,"strategy,targets,2026",https://docs.google.com/document/d/1YCEi7dg2WBE9v5F_qU6hbMI9sFJ_RG4VijAibkUg0XY/edit,
2025 By the Numbers,"Prior-year baseline — order volume, revenue, client count, average order value. The denominator for every 2026 target.",Planning,Chris,Reference,"metrics,baseline,2025",https://docs.google.com/document/d/1WSc2z_MGoO_guQISUUrYtu2XsOEMKLqYZOeE3zh4vpc/edit,
